Brand,Store Name,Address
CU,CU Bandar Baru Uda Johor Bahru,"CU BANDAR BARU UDA JB, 8 & 10, JALAN PADI EMAS 6/1, BANDAR BARU UDA, JOHOR BAHRU, JOHOR , 81200"
CU,CU Bintang Ria,"CU SIMPANG RENGGAM, 29, JALAN BINTANG RIA 2, KAMPUNG SIMPANG RENGGAM, SIMPANG RENGGAM, JOHOR, 86200"
CU,CU Bukit Dahlia,"NO. 28, JALAN SERANGKAI 18, TAMAN BUKIT DAHLIA, PASIR GUDANG, JOHOR, 81700"
CU,CU Eko Botani Johor,"NO. 82, JALAN EKO BOTANI 3/2, GELANG PATAH, JOHOR, 79100"
CU,CU Indahpura Kulai,"CU, 180, JALAN KENANGA 29/4, BANDAR INDAHPURA KULAI, JOHOR, 81000"
CU,CU JOHOR PREMIUM OUTLET,"236 & 240, JOHOR PREMIUM OUTLET INDAHPURA KULAI, JOHOR, 81000"
CU,CU Kebun Teh Johor Bahru,"CU KEBUN TEH JOHOR BAHRU, 14-01, JALAN KEBUN TEH 1, LARKIN, JOHOR BAHRU, JOHOR, 80250"
CU,CU Larkin Jaya,"PTB NO. 24500, JALAN GERODA 2/1 LARKIN JAYA JOHOR BAHRU, JOHOR,  80350"
CU,CU Masai,"CU KOTA MASAI, 23A, JLN EKOPERNIAGAAN 7, TAMAN KOTA MASAI, PASIR GUDANG, JOHOR, 81700"
CU,CU Mount Austin Johor Bahru,"NO. 35, JALAN AUSTIN HEIGHTS 3, TAMAN MOUNT AUSTIN, JOHOR BAHRU, JOHOR, 81100"
CU,CU Mutiara Mas Skudai,"NO. 63-G, JALAN MUTIARA 1/9 TAMAN MUTIARA MAS JOHOR BAHRU, JOHOR, 81300"
CU,CU Pekan Nenas,"CU PEKAN NENAS, 83, JALAN INDUSTRI 8, TAMAN PERINDUSTRIAN PEKAN NENAS, PONTIAN DISTRICT, JOHOR, 81500"
CU,CU Perling Johor Bahru,"CU MART TAMAN PERLING, NO. 18-G, JALAN PERSIARAN PERLING 1, TAMAN PERLING, JOHOR BAHRU, JOHOR , 81300"
CU,CU Permas 10 Masai,"CU PERMAS JAYA, 1, JLN PERMAS 10, PERMAS JAYA, MASAI, JOHOR, 81750"
CU,CU PIKOM Segamat,"1 & 2, JALAN MELOR, KAMPUNG ABDULLAH, SEGAMAT, JOHOR, 85000"
CU,CU PKOM Suria Johor Bahru,"NO. 17, JALAN SURIA 2, TAMAN NUSA PERINTIS GELANG PATAH, JOHOR, 81550"
CU,CU Southkey,"F-028, THE MALL MID VALLEY SOUTHKEY NO. 1, PERSIARAN SOUTHKEY 1 JOHOR BAHRU, JOHOR,  80150"
CU,CU Sutera Utama Skudai,"NO. 127 (G FLOOR), JALAN SUTERA TANJUNG 8/2 TAMAN SUTERA UTAMA SKUDAI, JOHOR, 81200"
CU,CU Terminal 5 Senai,"CU MART, 33-G, JALAN TERMINAL 5, SENAI, JOHOR, 81400"
CU,,
CU,,
CU,,
CU,,
CU,,
CU,,
CU,,
CU,,
CU,,
CU,,
CU,,
CU,,
CU,,
CU,,
CU,,
CU,,
CU,,
CU,,
CU,,
CU,,
CU,,
CU,,
CU,,
CU,,
CU,,
CU,,
CU,,
CU,,
CU,,
CU,,
CU,,
CU,,
CU,,
CU,,
CU,,
CU,,
CU,,
CU,,
CU,,
CU,,
CU,,
CU,,
CU,,
CU,,
CU,,
CU,,
CU,,
CU,,
CU,,
CU,,
CU,,
CU,,
CU,,
CU,,
CU,,
CU,,
CU,,
CU,,
CU,,
CU,,
CU,,
CU,,
CU,,
CU,,
CU,,
CU,,
CU,,
CU,,
CU,,
CU,,
CU,,
CU,,
CU,,
CU,,
CU,,
CU,,
CU,,
CU,,
CU,,
CU,,
CU,,
CU,,
CU,,
CU,,
CU,,
CU,,
CU,,
CU,,
CU,,
CU,,
CU,,
CU,,
CU,,
CU,,
CU,,
CU,,
CU,,
CU,,
CU,,
CU,,
CU,,
CU,,
CU,,
CU,,
CU,,
CU,,
CU,,
CU,,
CU,,
CU,,
CU,,
CU,,
CU,,
CU,,
CU,,
CU,,
CU,,
CU,,
CU,,
CU,,
CU,,
CU,,
CU,,
CU,,
CU,,
CU,,
CU,CU Bandar Baru Uda Johor Bahru,"CU BANDAR BARU UDA JB, 8 & 10, JALAN PADI EMAS 6/1, BANDAR BARU UDA, JOHOR BAHRU, JOHOR , 81200"
CU,CU Bintang Ria,"CU SIMPANG RENGGAM, 29, JALAN BINTANG RIA 2, KAMPUNG SIMPANG RENGGAM, SIMPANG RENGGAM, JOHOR, 86200"
CU,CU Bukit Dahlia,"NO. 28, JALAN SERANGKAI 18, TAMAN BUKIT DAHLIA, PASIR GUDANG, JOHOR, 81700"
CU,CU Eko Botani Johor,"NO. 82, JALAN EKO BOTANI 3/2, GELANG PATAH, JOHOR, 79100"
CU,CU Indahpura Kulai,"CU, 180, JALAN KENANGA 29/4, BANDAR INDAHPURA KULAI, JOHOR, 81000"
CU,CU JOHOR PREMIUM OUTLET,"236 & 240, JOHOR PREMIUM OUTLET INDAHPURA KULAI, JOHOR, 81000"
CU,CU Kebun Teh Johor Bahru,"CU KEBUN TEH JOHOR BAHRU, 14-01, JALAN KEBUN TEH 1, LARKIN, JOHOR BAHRU, JOHOR, 80250"
CU,CU Larkin Jaya,"PTB NO. 24500, JALAN GERODA 2/1 LARKIN JAYA JOHOR BAHRU, JOHOR,  80350"
CU,CU Masai,"CU KOTA MASAI, 23A, JLN EKOPERNIAGAAN 7, TAMAN KOTA MASAI, PASIR GUDANG, JOHOR, 81700"
CU,CU Mount Austin Johor Bahru,"NO. 35, JALAN AUSTIN HEIGHTS 3, TAMAN MOUNT AUSTIN, JOHOR BAHRU, JOHOR, 81100"
CU,CU Mutiara Mas Skudai,"NO. 63-G, JALAN MUTIARA 1/9 TAMAN MUTIARA MAS JOHOR BAHRU, JOHOR, 81300"
CU,CU Pekan Nenas,"CU PEKAN NENAS, 83, JALAN INDUSTRI 8, TAMAN PERINDUSTRIAN PEKAN NENAS, PONTIAN DISTRICT, JOHOR, 81500"
CU,CU Perling Johor Bahru,"CU MART TAMAN PERLING, NO. 18-G, JALAN PERSIARAN PERLING 1, TAMAN PERLING, JOHOR BAHRU, JOHOR , 81300"
CU,CU Permas 10 Masai,"CU PERMAS JAYA, 1, JLN PERMAS 10, PERMAS JAYA, MASAI, JOHOR, 81750"
CU,CU PIKOM Segamat,"1 & 2, JALAN MELOR, KAMPUNG ABDULLAH, SEGAMAT, JOHOR, 85000"
CU,CU PKOM Suria Johor Bahru,"NO. 17, JALAN SURIA 2, TAMAN NUSA PERINTIS GELANG PATAH, JOHOR, 81550"
CU,CU Southkey,"F-028, THE MALL MID VALLEY SOUTHKEY NO. 1, PERSIARAN SOUTHKEY 1 JOHOR BAHRU, JOHOR,  80150"
CU,CU Sutera Utama Skudai,"NO. 127 (G FLOOR), JALAN SUTERA TANJUNG 8/2 TAMAN SUTERA UTAMA SKUDAI, JOHOR, 81200"
CU,CU Terminal 5 Senai,"CU MART, 33-G, JALAN TERMINAL 5, SENAI, JOHOR, 81400"
CU,CU Alor Setar,"CU ALOR SETAR, 48, JALAN KUALA KEDAH, TAMAN GUNUNG INDAH, ALOR SETAR, KEDAH, 05400"
CU,CU Kuala Ketil,"108 & 109, PERSIARAN KKCC 2, COMMERCIAL CENTRE, KUALA KETIL, KEDAH, 09300"
CU,CU Riverfront Sungai Petani,"CU RIVERFRONT SUNGAI PETANI, NO.101, TINGKAT, 1, JALAN MAWAR 2, TAMAN PEKAN BARU, SUNGAI PETANI, KEDAH,  08000"
CU,CU Amanjaya Walk,"CU AMANJAYA WALK, BLOCK E-6, PT 60651, JALAN JATI 1/1, PUSAT PERNIAGAAN AMANJAYA, SUNGAI PETANI, KEDAH, 08000"
CU,CU Aurelius Hospital Alor Setar,"RETAIL 3, AURELIUS HOSPITAL NO. B-5, PERSIARAN BANDAR BARU MERGONG JALAN PERUSAHAAN 1, BDR BARU MERGONG, ALOR SETAR, KEDAH, 05150"
CU,CU Pekan Jitra,"CU MART PEKAN JITRA 2, PEKAN JITRA 2, JITRA, KEDAH, 06000"
CU,CU Taman Mergong Jaya,"CU TAMAN MERGONG JAYA, NO.188-G & 189-G, SSN, TAMAN, PERSIARAN BANDAR BARU MERGONG, TAMAN MERGONG JAYA, ALOR SETAR, KEDAH, 05150"
CU,CU UUM Sintok,"SINTOK, BANGUNAN, VARSITY MALL, UNIVERSITI UTARA MALAYSIA, KEDAH, 06010"
CU,,
CU,,
CU,,
CU,,
CU,,
CU,,
CU,,
CU,,
CU,,
CU,,
CU,,
CU,,
CU,,
CU,,
CU,,
CU,,
CU,,
CU,,
CU,,
CU,,
CU,,
CU,,
CU,,
CU,,
CU,,
CU,,
CU,,
CU,,
CU,,
CU,,
CU,,
CU,,
CU,,
CU,,
CU,,
CU,,
CU,,
CU,,
CU,,
CU,,
CU,,
CU,,
CU,,
CU,,
CU,,
CU,,
CU,,
CU,,
CU,,
CU,,
CU,,
CU,,
CU,,
CU,,
CU,,
CU,,
CU,,
CU,,
CU,,
CU,,
CU,,
CU,,
CU,,
CU,,
CU,,
CU,,
CU,,
CU,,
CU,,
CU,,
CU,,
CU,,
CU,,
CU,,
CU,,
CU,,
CU,,
CU,,
CU,,
CU,,
CU,,
CU,,
CU,,
CU,,
CU,,
CU,,
CU,,
CU,,
CU,,
CU,,
CU,,
CU,,
CU,,
CU,,
CU,,
CU,,
CU,,
CU,,
CU,,
CU,,
CU,,
CU,,
CU,,
CU,,
CU,,
CU,,
CU,,
CU,,
CU,,
CU,,
CU,,
CU,,
CU,,
CU,,
CU,,
CU,,
CU,,
CU,,
CU,CU Bandar Baru Uda Johor Bahru,"CU BANDAR BARU UDA JB, 8 & 10, JALAN PADI EMAS 6/1, BANDAR BARU UDA, JOHOR BAHRU, JOHOR , 81200"
CU,CU Bintang Ria,"CU SIMPANG RENGGAM, 29, JALAN BINTANG RIA 2, KAMPUNG SIMPANG RENGGAM, SIMPANG RENGGAM, JOHOR, 86200"
CU,CU Bukit Dahlia,"NO. 28, JALAN SERANGKAI 18, TAMAN BUKIT DAHLIA, PASIR GUDANG, JOHOR, 81700"
CU,CU Eko Botani Johor,"NO. 82, JALAN EKO BOTANI 3/2, GELANG PATAH, JOHOR, 79100"
CU,CU Indahpura Kulai,"CU, 180, JALAN KENANGA 29/4, BANDAR INDAHPURA KULAI, JOHOR, 81000"
CU,CU JOHOR PREMIUM OUTLET,"236 & 240, JOHOR PREMIUM OUTLET INDAHPURA KULAI, JOHOR, 81000"
CU,CU Kebun Teh Johor Bahru,"CU KEBUN TEH JOHOR BAHRU, 14-01, JALAN KEBUN TEH 1, LARKIN, JOHOR BAHRU, JOHOR, 80250"
CU,CU Larkin Jaya,"PTB NO. 24500, JALAN GERODA 2/1 LARKIN JAYA JOHOR BAHRU, JOHOR,  80350"
CU,CU Masai,"CU KOTA MASAI, 23A, JLN EKOPERNIAGAAN 7, TAMAN KOTA MASAI, PASIR GUDANG, JOHOR, 81700"
CU,CU Mount Austin Johor Bahru,"NO. 35, JALAN AUSTIN HEIGHTS 3, TAMAN MOUNT AUSTIN, JOHOR BAHRU, JOHOR, 81100"
CU,CU Mutiara Mas Skudai,"NO. 63-G, JALAN MUTIARA 1/9 TAMAN MUTIARA MAS JOHOR BAHRU, JOHOR, 81300"
CU,CU Pekan Nenas,"CU PEKAN NENAS, 83, JALAN INDUSTRI 8, TAMAN PERINDUSTRIAN PEKAN NENAS, PONTIAN DISTRICT, JOHOR, 81500"
CU,CU Perling Johor Bahru,"CU MART TAMAN PERLING, NO. 18-G, JALAN PERSIARAN PERLING 1, TAMAN PERLING, JOHOR BAHRU, JOHOR , 81300"
CU,CU Permas 10 Masai,"CU PERMAS JAYA, 1, JLN PERMAS 10, PERMAS JAYA, MASAI, JOHOR, 81750"
CU,CU PIKOM Segamat,"1 & 2, JALAN MELOR, KAMPUNG ABDULLAH, SEGAMAT, JOHOR, 85000"
CU,CU PKOM Suria Johor Bahru,"NO. 17, JALAN SURIA 2, TAMAN NUSA PERINTIS GELANG PATAH, JOHOR, 81550"
CU,CU Southkey,"F-028, THE MALL MID VALLEY SOUTHKEY NO. 1, PERSIARAN SOUTHKEY 1 JOHOR BAHRU, JOHOR,  80150"
CU,CU Sutera Utama Skudai,"NO. 127 (G FLOOR), JALAN SUTERA TANJUNG 8/2 TAMAN SUTERA UTAMA SKUDAI, JOHOR, 81200"
CU,CU Terminal 5 Senai,"CU MART, 33-G, JALAN TERMINAL 5, SENAI, JOHOR, 81400"
CU,CU Alor Setar,"CU ALOR SETAR, 48, JALAN KUALA KEDAH, TAMAN GUNUNG INDAH, ALOR SETAR, KEDAH, 05400"
CU,CU Kuala Ketil,"108 & 109, PERSIARAN KKCC 2, COMMERCIAL CENTRE, KUALA KETIL, KEDAH, 09300"
CU,CU Riverfront Sungai Petani,"CU RIVERFRONT SUNGAI PETANI, NO.101, TINGKAT, 1, JALAN MAWAR 2, TAMAN PEKAN BARU, SUNGAI PETANI, KEDAH,  08000"
CU,CU Amanjaya Walk,"CU AMANJAYA WALK, BLOCK E-6, PT 60651, JALAN JATI 1/1, PUSAT PERNIAGAAN AMANJAYA, SUNGAI PETANI, KEDAH, 08000"
CU,CU Aurelius Hospital Alor Setar,"RETAIL 3, AURELIUS HOSPITAL NO. B-5, PERSIARAN BANDAR BARU MERGONG JALAN PERUSAHAAN 1, BDR BARU MERGONG, ALOR SETAR, KEDAH, 05150"
CU,CU Pekan Jitra,"CU MART PEKAN JITRA 2, PEKAN JITRA 2, JITRA, KEDAH, 06000"
CU,CU Taman Mergong Jaya,"CU TAMAN MERGONG JAYA, NO.188-G & 189-G, SSN, TAMAN, PERSIARAN BANDAR BARU MERGONG, TAMAN MERGONG JAYA, ALOR SETAR, KEDAH, 05150"
CU,CU UUM Sintok,"SINTOK, BANGUNAN, VARSITY MALL, UNIVERSITI UTARA MALAYSIA, KEDAH, 06010"
